2021-04-14 15:59:32,097 semantic_segmentation INFO: Using 1 GPUs
2021-04-14 15:59:32,097 semantic_segmentation INFO: Namespace(aux=False, aux_weight=0.4, backbone='dualresnet', base_size=1040, batch_size=5, crop_size=1024, data_path='/home/mohi/projects/pytorch-sem-seg/awesome-semantic-segmentation-pytorch/datasets/citys', dataset='citys', device='cuda', distributed=False, epochs=250, jpu=False, local_rank=0, log_dir='runs/logs/', log_iter=10, lr=0.003, model='ddrnet_23', momentum=0.9, nclass=19, no_cuda=False, num_gpus=1, resume=None, save_dir='trained_models/', save_epoch=1, skip_val=False, start_epoch=0, use_ohem=True, val_epoch=1, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=4)
2021-04-14 15:59:33,663 semantic_segmentation INFO: Start training, Total Epochs: 250 = Total Iterations 148750
2021-04-14 15:59:41,274 semantic_segmentation INFO: Iters: 10/148750 || Lr: 0.003000 || Loss: 3.5440 || Cost Time: 0:00:07 || Estimated Time: 1 day, 6:45:36
2021-04-19 10:29:44,815 semantic_segmentation INFO: Model restored successfully!!!!
2021-04-19 10:29:44,816 semantic_segmentation INFO: Start validation, Total sample: 500
2021-04-19 10:29:54,420 semantic_segmentation INFO: Sample: 73, validation pixAcc: 94.531, mIoU: 73.078
2021-04-19 10:29:54,517 semantic_segmentation INFO: Sample: 74, validation pixAcc: 94.548, mIoU: 73.066
2021-04-19 10:29:54,612 semantic_segmentation INFO: Sample: 75, validation pixAcc: 94.569, mIoU: 73.107
2021-04-19 10:29:54,707 semantic_segmentation INFO: Sample: 76, validation pixAcc: 94.598, mIoU: 73.115
2021-04-19 10:29:54,812 semantic_segmentation INFO: Sample: 77, validation pixAcc: 94.640, mIoU: 73.181
2021-04-19 10:29:54,914 semantic_segmentation INFO: Sample: 78, validation pixAcc: 94.665, mIoU: 73.185
2021-04-19 10:29:55,013 semantic_segmentation INFO: Sample: 79, validation pixAcc: 94.634, mIoU: 72.763
2021-04-19 10:29:55,107 semantic_segmentation INFO: Sample: 80, validation pixAcc: 94.675, mIoU: 72.791
2021-04-19 10:29:55,207 semantic_segmentation INFO: Sample: 81, validation pixAcc: 94.697, mIoU: 72.968
2021-04-19 10:29:55,324 semantic_segmentation INFO: Sample: 82, validation pixAcc: 94.731, mIoU: 72.920
2021-04-19 10:29:55,434 semantic_segmentation INFO: Sample: 83, validation pixAcc: 94.761, mIoU: 73.031
2021-04-19 10:29:55,528 semantic_segmentation INFO: Sample: 84, validation pixAcc: 94.790, mIoU: 73.140
2021-04-19 10:29:55,621 semantic_segmentation INFO: Sample: 85, validation pixAcc: 94.832, mIoU: 73.295
2021-04-19 10:29:55,724 semantic_segmentation INFO: Sample: 86, validation pixAcc: 94.854, mIoU: 73.474
2021-04-19 10:29:55,832 semantic_segmentation INFO: Sample: 87, validation pixAcc: 94.880, mIoU: 73.418
2021-04-19 10:29:55,931 semantic_segmentation INFO: Sample: 88, validation pixAcc: 94.914, mIoU: 73.448
2021-04-19 10:29:56,024 semantic_segmentation INFO: Sample: 89, validation pixAcc: 94.938, mIoU: 73.421
2021-04-19 10:29:56,125 semantic_segmentation INFO: Sample: 90, validation pixAcc: 94.961, mIoU: 73.331
2021-04-19 10:29:56,223 semantic_segmentation INFO: Sample: 91, validation pixAcc: 94.965, mIoU: 73.390
2021-04-19 10:29:56,320 semantic_segmentation INFO: Sample: 92, validation pixAcc: 95.002, mIoU: 73.334
2021-04-19 10:29:56,422 semantic_segmentation INFO: Sample: 93, validation pixAcc: 95.042, mIoU: 73.306
2021-04-19 10:29:56,521 semantic_segmentation INFO: Sample: 94, validation pixAcc: 95.064, mIoU: 73.261
2021-04-19 10:29:56,615 semantic_segmentation INFO: Sample: 95, validation pixAcc: 95.023, mIoU: 73.364
2021-04-19 10:29:56,712 semantic_segmentation INFO: Sample: 96, validation pixAcc: 95.066, mIoU: 73.360
2021-04-19 10:29:56,830 semantic_segmentation INFO: Sample: 97, validation pixAcc: 95.073, mIoU: 73.475
2021-04-19 10:29:56,982 semantic_segmentation INFO: Sample: 98, validation pixAcc: 95.099, mIoU: 73.407
2021-04-19 10:29:57,080 semantic_segmentation INFO: Sample: 99, validation pixAcc: 95.129, mIoU: 73.450
2021-04-19 10:29:57,190 semantic_segmentation INFO: Sample: 100, validation pixAcc: 95.151, mIoU: 73.519
2021-04-19 10:29:57,294 semantic_segmentation INFO: Sample: 101, validation pixAcc: 95.161, mIoU: 73.430
